AFUA_4G09710	AFUA_2G09680
AFUA_4G09710	AFUA_1G15160
AFUA_4G09080	AFUA_1G10210
AFUA_4G08840	AFUA_4G08850
AFUA_4G08620	AFUA_7G08600
AFUA_4G08590_nca	AFUA_7G01000
AFUA_4G08590_nca	AFUA_3G03470
AFUA_4G08330	AFUA_5G03790
AFUA_4G08330	AFUA_1G10750
AFUA_4G08110	AFUA_6G05110
AFUA_4G08110	AFUA_3G10800
AFUA_4G08110	AFUA_1G15140
AFUA_4G06880	AFUA_6G11110
AFUA_4G06880	AFUA_1G16590
AFUA_4G06880	AFUA_1G04600
AFUA_4G06170	AFUA_6G07970
AFUA_4G06170	AFUA_1G06700
AFUA_4G05880	AFUA_8G04170
AFUA_4G04460	AFUA_1G12890
AFUA_4G04320_nca	AFUA_4G09400
AFUA_4G04320_nca	AFUA_3G00590
AFUA_4G04320_nca	AFUA_1G00530
AFUA_4G04260	AFUA_2G05580
AFUA_4G03960	AFUA_7G03770
AFUA_4G03960	AFUA_5G09980
AFUA_4G03460	AFUA_5G07780
AFUA_4G03460	AFUA_4G03410
AFUA_4G03460	AFUA_1G03610
AFUA_4G02930	AFUA_3G11920
AFUA_4G02930	AFUA_2G08350
AFUA_4G02930	AFUA_2G04520
AFUA_4G02930	AFUA_1G15330
AFUA_4G01470	AFUA_2G14640
AFUA_4G00660	AFUA_8G02480
AFUA_4G00660	AFUA_7G05580
AFUA_4G00660	AFUA_5G13750
AFUA_4G00660	AFUA_5G13740
AFUA_4G00660	AFUA_5G03860
AFUA_4G00660	AFUA_4G06410
AFUA_4G00660	AFUA_4G04590
AFUA_4G00660	AFUA_4G03730
AFUA_4G00660	AFUA_3G10760
AFUA_4G00660	AFUA_3G10750
AFUA_4G00660	AFUA_3G00370
AFUA_4G00660	AFUA_1G17030
AFUA_4G00660	AFUA_1G07040
AFUA_4G00320	AFUA_1G11180
AFUA_3G14920	AFUA_7G06130
AFUA_3G14920	AFUA_7G06120
AFUA_3G14920	AFUA_6G13810
AFUA_3G14920	AFUA_6G13800
AFUA_3G14920	AFUA_6G13490
AFUA_3G14920	AFUA_6G00550
AFUA_3G14920	AFUA_5G00700
AFUA_3G14920	AFUA_4G14180
AFUA_3G14920	AFUA_4G00610
AFUA_3G14920	AFUA_3G06730
AFUA_3G14920	AFUA_3G01580
AFUA_3G14920	AFUA_2G17820
AFUA_3G14370	AFUA_1G02460
AFUA_3G14090	AFUA_5G08990
AFUA_3G13920	AFUA_1G15120
AFUA_3G13870_nca	AFUA_5G02670
AFUA_3G13870_nca	AFUA_5G02660
AFUA_3G12890	AFUA_3G12900
AFUA_3G12780	AFUA_3G12770
AFUA_3G12730	AFUA_2G10750
AFUA_3G12530	AFUA_3G11330
AFUA_3G12190	AFUA_2G02910
AFUA_3G11990_nca	AFUA_6G12780
AFUA_3G11990_nca	AFUA_6G09740
AFUA_3G11990_nca	AFUA_6G09730
AFUA_3G11990_nca	AFUA_6G09720
AFUA_3G11990_nca	AFUA_6G09710
AFUA_3G11990_nca	AFUA_6G09700
AFUA_3G11990_nca	AFUA_6G09690
AFUA_3G11990_nca	AFUA_6G09680
AFUA_3G11990_nca	AFUA_6G09670
AFUA_3G11990_nca	AFUA_6G09650
AFUA_3G11990_nca	AFUA_6G09640
AFUA_3G11990_nca	AFUA_6G09610
AFUA_3G11990_nca	AFUA_5G11980
AFUA_3G11990_nca	AFUA_2G11120
AFUA_3G11960_nca	AFUA_7G04730
AFUA_3G11960_nca	AFUA_6G10860
AFUA_3G11960_nca	AFUA_5G07880
AFUA_3G11960_nca	AFUA_3G13120
AFUA_3G11960_nca	AFUA_1G12840
AFUA_3G11960_nca	AFUA_1G12560
AFUA_3G11940	AFUA_2G12930
AFUA_3G11610_nca	AFUA_7G05370
AFUA_3G11610_nca	AFUA_6G03370
AFUA_3G11610_nca	AFUA_6G00460
AFUA_3G11610_nca	AFUA_6G00160
AFUA_3G11610_nca	AFUA_4G00740
AFUA_3G11610_nca	AFUA_1G12475
AFUA_3G11440	AFUA_3G12330
AFUA_3G11440	AFUA_2G14140
AFUA_3G11330_nca	AFUA_8G02480
AFUA_3G11330_nca	AFUA_8G01700
AFUA_3G11330_nca	AFUA_7G06770
AFUA_3G11330_nca	AFUA_7G06430
AFUA_3G11330_nca	AFUA_7G05730
AFUA_3G11330_nca	AFUA_7G05230
AFUA_3G11330_nca	AFUA_7G04520
AFUA_3G11330_nca	AFUA_7G01730
AFUA_3G11330_nca	AFUA_6G14280
AFUA_3G11330_nca	AFUA_6G14270
AFUA_3G11330_nca	AFUA_6G13860
AFUA_3G11330_nca	AFUA_6G13330
AFUA_3G11330_nca	AFUA_6G12450
AFUA_3G11330_nca	AFUA_6G12180
AFUA_3G11330_nca	AFUA_6G08940
AFUA_3G11330_nca	AFUA_6G03790
AFUA_3G11330_nca	AFUA_6G00510
AFUA_3G11330_nca	AFUA_6G00440
AFUA_3G11330_nca	AFUA_5G14210
AFUA_3G11330_nca	AFUA_5G14180
AFUA_3G11330_nca	AFUA_5G13100
AFUA_3G11330_nca	AFUA_5G12590
AFUA_3G11330_nca	AFUA_5G02500
AFUA_3G11330_nca	AFUA_5G02240
AFUA_3G11330_nca	AFUA_4G12590
